序号	年级	章节	涉及模块	题目	答案	答题过程
1405				某地区的气象记录表明，在一段时间内，全天下雨共1天；白天雨夜间晴或白天晴夜间雨共9天；6个夜间和7个白天晴朗．则这段时间有　　天，其中全天晴有　　天．	12;2	解：白天或夜间晴朗：6+7＝13（个）； 不是全天下雨的天数共有：（9+13）÷2＝11（天）； 总天数为：11+1＝12（天）； 全晴天有：12﹣9＝2（天）． 答：这段时间有12天，其中全天晴有2天． 故答案为：12，2．
1554				从自然数1，2，3，…，2015，2016中，任意取n个不同的数，要求总能在这n个不同的数中找到5个数，它们的数字和相等．那么n的最小值等于（　　） A．109 B．110 C．111 D．112	B	解：依题意可知： 1﹣2019中最大的数字和是1999数字和为28． 数字和最小的为1共有1，10，100，1000共四个． 数字和为27的有999，1899，1998，1989共四个． 数字和为2﹣26的都超过5个数． 那么只要2﹣26的数字和中挑出4个数字，在把数字和为1，27，28的都算上，再来一个就是5个数字了满足情况了． 27×4+1+1＝110． 故选：B．
240	六年级	第四讲	定义新运算	定 义a△b 表示a×b的整数部分，例如：3.5△1.5=5. 计算(199△π)+[199△(4— π)]=          	795	注意到199×π+199×(4-π)=199×4=7                 96,而所求的结果比796要小，小的部分  就是199×π的小数部分与199×(4- π)的小数部分之和.显然它们的小数部分大于0小于1, 所以和大于0小于2.又因为所求结果是个整数，那么小数部分的和只能是1,因此所求结果为 796-1=795.
856	五年级	第二十五讲	因数与倍数	一个自然数恰好有18个因数，那么它最多有        个因数的个位是3.	9	18=2×3²,根据求一个数因数个数公式知，不同的质因数可能有一至三个.但是如果 个位是3的因数尽可能多，可以构造出：N=(a3)¹×(b1)⁸, 即一个质因数的个位是3,这个质因数 只有1次方，另一个质因数的个位是1,这个质因数有8次方.这样得到的不同的个位是3的因数 有(a3)¹×(b1)°、(a3)¹×(b1)'、(a3)¹×(b1)²、(a3)¹×(b1)³、…、(a3)¹×(b1)⁸ 共有9个 .
1804	五年级			\begin{aligned}   &11.\ \text{由 } 120 \text{ 个棱长为 } 1 \text{ 的正方体，拼成一个长方体，表面全部涂色，} \\ &\text{只有一面染色的小正方体，最多有 } \underline{\quad} \text{ 块。}   \end{aligned}	64	\begin{aligned}   &\text{[解答]} \ \text{设长方体的长、宽、高分别为 } l, m, n \ (\text{不妨设 } l \geq m \geq n)，\text{容易知道只有一面染色的小正方体} \\ &\text{只分布在每个面上可能有一些。要使得其最多，那么 } n = 2 \ (\text{否则内部有太多的小正方体都是所有面没有染色的})。 \\ &\text{由于 } lmn = 120 \Rightarrow lm = 60。\text{此时一面染色的小正方体的个数为} \\ &2(l-2)(m-2) = 2(lm - 2l - 2m + 4) = 2(60 - 2l - 2m + 4) = 2 \times 64 - 4(l + m)。 \\ &\text{要使得 } 2 \times 64 - 4(l + m) \text{ 最大，那么就是要使 } l + m \text{ 最小。考虑到 } lm = 60，\text{容易知道当 } l = 10, m = 6 \\ &\text{时，} l + m \text{ 最小。所以只有一面染色的小正方体最多有 } 2 \times 64 - 4 \times (10 + 6) = 64。   \end{aligned}
1750	六年级	2011年广东省奥校小升初		今天是 5 月 21 日，那么算式 5×6×7×8×…×21 的结果中，末尾有（ ）个零。 A. 2 B. 3 C. 4 D. 5 E. 6	C	5×6×7×8×…×21 有 8 个偶数，有足够多的因数 2 只要再找出算式 5×6×7×8×…×21 有多少个因数 5，乘积的末尾就有多少个 0。 解：5×6×7×8×…×21 有足够多的因数 2；而 5×6×7×8×…×21 因数中含有 5 的数有：5，10，15，20，一共是 4 个因数 5； 所以乘积的末尾就有 4 个零。
1456				用1，2，3，4，5，6，7，8这八个数字组成两个不同的四位数（每个数字只用一次）使他们的差最小，那么这个差是　　．	247	解：设这两个数为a，b．，且a＜b．千位最小差只能是1．根据以上分析，应为： 5123﹣4876＝247 故答案为：247．
1806	五年级			\begin{aligned}   &\text{在 } 1^2, \ 2^2, \ 3^2, \ \cdots, \ 95^2 \text{ 这 } 95 \text{ 个数中，十位数字是奇数的数共有 } \underline{\quad} \text{ 个。}   \end{aligned}	19	\begin{aligned}   &\text{数论，完全平方数。} \\ &(10a + b)^2 = 100a^2 + 20ab + b^2; \\ &0^2 = 0, \ 1^2 = 1, \ 2^2 = 4, \ 3^2 = 9, \ 4^2 = 16, \ 5^2 = 25, \ 6^2 = 36, \ 7^2 = 49, \ 8^2 = 64, \ 9^2 = 81; \\ &\text{如果完全平方数的十位数字是奇数，则它的个位数字一定是 } 6; \\ &\text{反之，如果完全平方数的个位数字是 } 6, \ \text{则它的十位数字一定是奇数。} \\ &\text{故若完全平方数 } n^2 \text{ 的十位数字是奇数，则 } n^2 \text{ 的个位数字是 } 6, \ n \text{ 的个位数字是 } 4 \text{ 或 } 6; \\ &\text{1-95 中，个位数字是 4 或 6 的有 19 个;} \\ &\text{故在 } 1^2, \ 2^2, \ 3^2, \ \ldots, \ 95^2 \text{ 这 95 个数中，十位数字是奇数的数共有 19 个。}   \end{aligned}
1694				二进制数101010…10化成十进制数后除以7的余数是____。	3	由于(101010 2=(42)10能被7整除，所以每6位恰好能被7整除 2014÷6=335…4，所以(101010…10 2被7除的余数与(1010 2被7除的余数相同 而(1010 2=10 10，余数为3
232	六年级	第二讲	四则运算	1×1+2×3+3×5+4×7+…+99×197=        	651750	12+22+…+n2=(1/6)n(n+1)(2n+1).                                                         1×2+2×3+3×4+…+n(n+1)=(1/3)n(n+1)(n+2)                                                    原式=12+22+32+…+992+1×2+2×3+3×4+…+98×99                                                 =(1/6)×99×100×199+(1/3)×98×99×100                                                    =328350+323400=651750
1695				各位数字之和为40且为4的倍数的五位数共有____个。	20	五位数数字和最大为99999的数字和45 现在要去掉5，且结果为4的倍数 一、个位为8 此时，还需要去掉4，由于个位为8，且为4的倍数，所以十位应为偶数  若末两位为88，还要去掉3 若将1个9变为6，有3种变法 若将2个9变为8、7，有6种变法 若将3个9变为8、8、8，有1种变法 共10种 若末两位为68，还要去掉1，有3种去法 故，个位为8的数共有13个 二、个位为6 此时还要去掉2，由于个位为6，且为4的倍数，所以十位应为奇数 若末两位为96，还要去掉2 若将1个9变为7，有3种变法 若将2个9变为8、8，有3种变法 共6种 若末两位为76，则数字和恰好为40，只能为99976这1种 故，个位为6的数共有7个 综上，数字和为40且为4的倍数的五位数共20个  
1418				有16位选手参加象棋晋级赛，每两人都只赛一盘．每盘胜者积1分，败者积0分．如果和棋，每人各积0.5分．比赛全部结束后，积分不少于10分者晋级．那么本次比赛后最多有　　位选手晋级．	11	解：16名参赛选手所有的比赛一共有（1+15）×15÷2＝120场， 而且不论胜败，每场比赛总分为1分， 所以比赛总分为120分， 最理想的结果是120÷10＝12人晋级，即有12人，每人10分，其余4人每人0分， 但这种情况不可能出现（那怕排名最后的2人相互之间的比赛也会有得分）， 那么考虑11人的情况，前11人称为高手，后5人称为平手， 高手之间的比赛全平，每人得0.5×10＝5分， 高手对平手，高手全胜，每个高手再得5分，这样每个高手得10分，正好全部晋级． 综上所述：最多11人晋级；
1253	四年级			1～200之间不是2或5的倍数的所有自然数的和是　   　．	8000	解：1到200的自然数中，所有自然数的和是：1+2+3+…+200＝20100， 1到200的自然数中，所有2的倍数的自然数和是： 2+4+6+8+…+198+200＝2×（1+2+3+…+100）＝2×5050＝10100， 1到200的自然数中，所有5的倍数的自然数和是： 5+10+15+20+…+195+200＝5×（1+2+3+…+40）＝5×820＝4100， 1到200的自然数中，所有既是2的倍数又是5的倍数的自然数和是： 10+20+30+..+200＝10×（10+200）＝10×210＝2100， 所以1到200的自然数中，不是2或5的倍数的所有自然数的和： S＝20100﹣10100﹣4100+2100＝8000； 故答案为：8000．
345	四年级	第十讲	应用题综合二	一只小蜜蜂发现了一处蜜源，它立刻回巢招来10个同伴，可还是采不完.于是，每只蜜 蜂回去分头各找来10只蜜蜂，大家再接着干，还是剩下很多蜜没有采.于是，蜜蜂们又 回去叫同伴，每只蜜蜂又叫来10个同伴，但仍然采不完.蜜蜂们再回去，每只蜜蜂又叫 来10个同伴.这一次，终于把这一片蜜源采完了. 你来算一算采这块蜜源的蜜蜂一共有 几只 .	14641	每只小蜜蜂每次都叫来10只蜜蜂，所以每次新叫来的蜜蜂是原来蜜蜂数目的10 倍，即每叫一次，蜜蜂数目变为原来的11倍，共叫了4次.现在的蜜蜂共有 1×11×11×11×11=14641(只).
189	六年级	第二十五讲	最值问题	将1分、2分、5分和1角的硬币投入19个盒子中，使每个盒子里都有硬币，且任何两个 盒子里的硬币的钱数都不相同.问：至少需要投入多少硬币?这时，所有的盒子里的硬币的总钱 数至少是多少? 	41；194	只取一枚有1分、2分、5分、10分(1角)4种； 取二枚有1+1=2(分),2+2=4(分),5+5=10(分),10+10=20(分)(2角), 1+2=3(分),1+5=6(分),1+10=11(分)(1角1分), 2+5=7(分),2+10=12(分)(1角2分),5+10=15(分)(1角5分), 共10种，其中重复2种(2分、10分),加上只取一枚的共4+10-2=12(种)不同币值； 取三枚时，可将以上取两枚的10种情况，分别加1分、2分、5分、10分，共有40种情况.从 小到大取出7种不重复的币值为：8分、9分、13分、14分、16分、17分、21分，加上上述12种共 19种 . 共用硬币的枚数为：1×4+2×8+3×7=41(枚) . 总钱数为：1+2+3+ … +17+20+21=194(分) .
1519				若干自然数的乘积为324，则这些自然数的和最小为　　．	16	解：因为324＝2×2×3×3×3×3，所以这些自然数的和最小为：2+2+3+3+3+3＝16， 故答案为：16．
1665				有一块均匀生长的草地，若放养20头牛，60天刚好将草全部吃完，若放养30头牛，则35天刚好将草全部吃完。现在这片草地上放养了6头牛，一个月后草地又来了10头牛，那么再过 ________ 天可以把草地上的草全吃完。	84	牛吃草问题。 设1头牛1天吃1份的草； 20头牛60天吃20×60=1200份的草； 30头牛35天吃30×35=1050份的草； 草每天长(1200−1050)÷(60−35)=6份； 原来草有(20−6)×60=840或(30−6)×35=840份； 现在这片草地上放养了6头牛，一个月后草地又来了10头牛，那么再过840÷10=84天可以把草地上的草全吃完。
1682				有一口井，井底有泉水不断涌出，每分钟涌出的水量相等。如果用4台抽水机来抽水，40分钟可以抽完；如果用5台抽水机来抽水，30分钟可以抽完。现在要求24分钟内抽完井水，至少需要抽水机____台。	6	设1台抽水机1分钟抽水1份 则每分钟涌出的水量为(4×40−5×30)÷(40−30)=1份， 原来井中有水4×40−1×40=120份 要求24分钟抽完，需要抽水机120÷24+1=6台。
1388				一种电子表在10点28分6秒时，显示的时间如图所示．那么从10点至10点半这段时间内，电子表上六个数字都不相同的时间有　　个．	90	解：在10点至10点半这段时间内，要使电子表上六个数都不相同，前三个数字显然是1，0，2． 设时间为10：2a：bc， 其中b可在3，4，5中选择， a，c可在3，4，5，6，7，8，9中选择． 先确定b，有3种选法；然后确定a，有6种选法；最后确定c，有5种选法． 所以，从10点至10点半这段时间内，电子表上六个数字都不相同的时间一共有：3×6×5＝90（个）．
1722	六年级	2007年广东省奥校小升初		在下面的五组数中：4, 4, 4, 4; 5, 5, 5, 5; 6, 6, 6, 6; 7, 7, 7, 7; 9, 9, 9, 9。通过添上合适的运算符号（+、-、×、÷），使计算结果等于 24 那么满足条件的组数是（ ） A. 1 B. 2 C. 3 D. 4 E. 5	C	根据题意，根据 24 这个数的特点，填上符号是否等于 24，再进行选择即可。 解：因为，4×4+4+4=24； 5×5-5÷5=24； 6+6+6+6=24； 7，7，7，7 和 9，9，9，9 怎么添加运算符号都得不到 24
694				现有5吨的A零件4个，4吨的B零件6个，3吨的C零件11个，1吨的D零件7个．如 果要将所有零件一次运走，至少需要载重为6吨的汽车__________辆．	16	先考虑5吨和4吨的零件，它们只能和1吨的零件放1车，即至少要4＋6＝10 辆车．再看3吨的零件，不可以和4吨、5吨的放一车，但是两个3吨零件可以放一车，11 个3吨零件至少要6车，1吨的放在4吨、5吨的车就可以了，则至少要16辆车．
1035				3．（5分）对运算⊙和㊣，规定：a⊙b＝a×b+b，a㊣b＝a×b﹣a，那么（2⊙3）⊙（2㊣4）＝　   　．	60	【解答】解：根据分析，则2⊙3＝2×3+3＝9，2㊣4＝2×4﹣2＝6， 则（2⊙3）⊙（2㊣4） ＝9⊙6＝9×6+6＝60， 故答案是：60．
255	四年级	第三讲	小数计算	3.49+4.47+3.51+2.38+4.53+4.62	23	原式=(3.49+3.51)+(4.47+4.53)+(2.38+4.62) =7+9+7 =23
758	五年级	第十四讲	工程问题	 一项工程，甲单独完成需要10天，乙单独完成需要15天，丙单独完成需20天，在三人合 作3天后，甲有其他任务而退出，剩下乙、丙继续工作直至完工.完成这项工程共用        天 .	6	甲的工作效率是1/10，乙的工作效率是1/15，丙的工作效率是1/20。三人工作3天完成(1/10+1/15+1/20)×3=39/60=13/20剩下的乙、丙继续工作需要(1−13/20)÷(1/20+1/15)=3天。所以一共要用6天。
121	六年级	第二十讲	不定方程 	将一根长为374厘米的合金铝管截成若干根36厘米和24厘米两种型号的短管(加工损 耗不计),问剩余部分的铝管最少是多少厘米?	2	设截成36厘米和24厘米两种型号的短管分别是x 根 和y 根，剩余部分的铝管长 度为a 厘米，那么得方程36x+24y+a=374,几 显 然a  是偶数，要求a  的最小值，故从a=0,2, … 开始枚举. 当 a=0 时，36x+24y=374,由于3|36x+24y, 而374不是3的倍数，所以无整数解； 当a=2 时，36x+24y=372, 即 3x+2y=31,  此方程显然有解(只要x 是不超过9的奇数即可). 所以剩余部分的铝管最少是2厘米. 
112	六年级	第十四讲	行程综合 	相距180千米的A 、B两地之间有一条单车道的公路(即不允许有超车).有一天，一辆小轿车从A 出发，同时一辆大货车在A 、B之间的某地C 出发，都沿该公路驶向B地.两辆车到达B 地所用时间之和为5小时.如果交换两车的出发位置，并让两车仍然同时出 发，那么它们到达B 地所用时间之和仍为5小时.已知在没有货车挡道时小轿车的速度是大货 车速度的3倍，那么BC之间的路程为几千米	108	两次所花总时间相等.但是第二次两车不会相互阻挡，因此第一次小轿车一定在半 路被大货车拦住了，因此第一次小轿车所花时间与大货车相同，都是5÷2=2.5小时，大货车从C到B花了2.5小时，而小轿车速度是其3倍. 因此第二次小轿车所花的时间为2.5/3=5/6(时),则大货车花5-5/6=25/6(小时),因此BC长度为180/（25/6）*（2.5）=108千米
1517				计算： 10×9×8+7×6×5+6×5×4+3×2×1﹣9×8×7﹣8×7×6﹣5×4×3﹣4×3×2＝　　．	132	解：10×9×8+7×6×5+6×5×4+3×2×1﹣9×8×7﹣8×7×6﹣5×4×3﹣4×3×2 ＝（10×9×8﹣9×8×7）﹣（8×7×6﹣7×6×5）+（6×5×4﹣5×4×3）﹣（4×3×2﹣3×2×1） ＝9×8×（10﹣7）﹣7×6×（8﹣5）+5×4×（6﹣3）﹣3×2×（4﹣1） ＝9×8×3﹣7×6×3+5×4×3﹣3×2×3 ＝（9×8﹣7×6+5×4﹣3×2）×3 ＝（72﹣42+20﹣6）×3 ＝44×3 ＝132； 故答案为：132．
1498				小明所在班级的人数不足40人，但比30人多，那么这个班男、女生人数的比不可能是（　　） A．2：3 B．3：4 C．4：5 D．3：7	D	解：A：2+3＝5 大于30小于40的数中35是5的倍数，所以这个班男、女生人数的比可能是2：3； B：3+4＝7 大于30小于40的数中35是7的倍数，所以这个班男、女生人数的比可能是3：4； C：4+5＝9 大于30小于40的数中36是9的倍数，所以这个班男、女生人数的比可能是4：5； D：3+7＝10 大于30小于40的数中没有数是10的倍数，所以这个班男、女生人数的比不可能是3：7； 故选：D．
1705				把四个数8、8、8、8、10，用四则运算组成一个算式________，使它的结果等于24（可添加括号）	(10−8)×8+8=24	(10−8)×8+8=24
1466				在除以7余1、除以11也余1的自然数中，大于1的最小自然数是　　．	78	解：7×11+1＝78； 答：这个数最小是78； 故答案为：78．
1199	四年级			找规律填数 2、7、12、17、22、　   　、32、37	27	22+5＝27，
1165				2．（5分）60的不同约数（1除外）的个数是　   　．	11	【解答】60分解质因数 60＝2×2×3×5，再下称标准式是22×3×5，再利用约数个数公式，约数个数＝不同质因数指数加1然后再相乘． 60的不同约数（1除外）的个数是（2+1）×（1+1）×（1+1）﹣1＝11个． 答：答案是11个．
484	四年级	第二讲	整数巧算	计算：1234÷9+3214÷9+5100÷9+451÷9=	1111	原式=(1234+3214+5100+451)÷9 =9999÷9 =1111
1470				设n是小于50的自然数，那么使得4n+5和7n+6有大于1的公约数的所有n的可能值之和为　　．	94	解：设4n+5和7n+6的公约数为k， 则（4n+5）÷k为整数，（7n+6）÷k为整数， 为了作差后消去n，则左边的式子乘上7，右边的式子乘上4，结果还是都为整数，  则[7（4n+5）﹣4（7n+6）]÷k＝11÷k为整数， 因为k≠1，则11÷k为整数时k只能为11，即两代数式大于1个公约数为11，  又因为[2（4n+5）﹣（7n+6）]÷k为整数，[这里（4n+5）乘上2来作差是为了让n的系数变为1方便筛选] 代入k＝11，有（n+4）÷11为整数 因为n＜50 则n＝7，18，29，40． 7+18+29+40＝94． 故所有n的可能值之和为94． 故答案为：94．
1763				这是一幅学校校门上的横幅，字样为“2011 市奥校招生考试”，对其中的数和汉字分别进行如下变动： 2011 市奥校招生考试（开始时） 0112 奥校招生考试市（第一次变动） 1120 校招生考试市奥（第二次变动） 1201 招生考试市奥校（第三次变动） 问：最少经过____次变动后，“2011 市奥校招生考试”字样又重新出现。	28	数字的变化：一共有 4 个数字，2011→0112→1120→1201→2011，操作 4 次后回到原来的状态； 汉字的变化：一共有 7 个汉字，市奥校招生考试→奥校招生考试市→校招生考试市奥→招生考试市奥→招生考试市奥校→生考试市奥校招→考试市奥校招生考→市奥校招生考生；操作 7 次后回到原来的状态； 求出 4 与 7 的最小公倍数就是最少经过多少次之后与原来相同。 解：数字 4 次变化后与原来相同； 汉字 7 次后与原来相同； 4 与 7 的最小公倍数是： 4×7=28； 所以 28 次变动后恢复原样。 答：最少经过 28 次变动后，“2011 市奥校招生考试”字样又重新出现。
395	四年级	第十三讲	追及问题	 AB 两地相距15千米， 一辆汽车以每小时50千米的速度从A 地出发，另一辆车以每小 时40千米的速度从B 地出发，两车同时出发同向而行，经过几小时两车相距 30千米.	1.5或4.5	有两种情况：两辆车方向是从A 到 B 或从B 到A, 前一种情况：时速50千米的车 要追上另一辆并超过30千米，需要(15+30)÷(50-40)=4.5(小时);后一种情况只要再拉开 15千米距离就可以了，需要(30-15)÷(50-40)=1.5(小时).
